channel,true_roas,est_roas,hdi_low,hdi_high,abs_pct_error,covered,rel_interval_width,tool,tool_version,scenario,seed,seconds,max_rhat,min_ess,divergences,draws,chains,python
tv,1.348,1.2973,1.2113,1.3807,0.0376,True,0.1257,PyMC-Marketing,0.19.2,clean,0,61.9,1.01,374.0,0,500,2,3.11.15
social,3.045,1.818,1.1539,2.5969,0.403,False,0.4739,PyMC-Marketing,0.19.2,clean,0,61.9,1.01,374.0,0,500,2,3.11.15
search,2.2753,2.0955,1.1692,3.7193,0.079,True,1.1208,PyMC-Marketing,0.19.2,clean,0,61.9,1.01,374.0,0,500,2,3.11.15
tv,1.3703,1.3712,1.2647,1.4865,0.0007,True,0.1618,PyMC-Marketing,0.19.2,clean,1,78.1,1.01,182.0,0,500,2,3.11.15
social,3.1225,2.6236,1.6183,3.6645,0.1598,True,0.6553,PyMC-Marketing,0.19.2,clean,1,78.1,1.01,182.0,0,500,2,3.11.15
search,2.2834,2.2105,1.1103,4.0238,0.0319,True,1.2759,PyMC-Marketing,0.19.2,clean,1,78.1,1.01,182.0,0,500,2,3.11.15
tv,1.3495,1.357,1.2598,1.4483,0.0056,True,0.1397,PyMC-Marketing,0.19.2,clean,2,103.6,1.02,162.0,3,500,2,3.11.15
social,3.1144,2.954,2.1268,3.9656,0.0515,True,0.5904,PyMC-Marketing,0.19.2,clean,2,103.6,1.02,162.0,3,500,2,3.11.15
search,2.2853,5.8063,1.744,13.1868,1.5407,True,5.0071,PyMC-Marketing,0.19.2,clean,2,103.6,1.02,162.0,3,500,2,3.11.15
tv,1.3616,1.3265,1.2312,1.4416,0.0258,True,0.1545,PyMC-Marketing,0.19.2,correlated,0,185.7,1.03,85.0,16,500,2,3.11.15
social,2.517,10.6774,0.6234,24.2191,3.2421,True,9.3745,PyMC-Marketing,0.19.2,correlated,0,185.7,1.03,85.0,16,500,2,3.11.15
search,2.3131,3.1913,0.0555,9.5702,0.3797,True,4.1134,PyMC-Marketing,0.19.2,correlated,0,185.7,1.03,85.0,16,500,2,3.11.15
tv,1.3873,1.4984,1.3806,1.6203,0.0801,True,0.1728,PyMC-Marketing,0.19.2,correlated,1,93.1,1.01,220.0,1,500,2,3.11.15
social,2.5505,2.5682,0.3113,4.8378,0.0069,True,1.7748,PyMC-Marketing,0.19.2,correlated,1,93.1,1.01,220.0,1,500,2,3.11.15
search,2.3521,3.5324,0.5466,6.9896,0.5018,True,2.7392,PyMC-Marketing,0.19.2,correlated,1,93.1,1.01,220.0,1,500,2,3.11.15
tv,1.3527,1.3584,1.2611,1.4381,0.0042,True,0.1308,PyMC-Marketing,0.19.2,correlated,2,165.2,1.02,245.0,2,500,2,3.11.15
